date,Wind_speed,Power,Nacelle_ambient_temperature,Generator_bearing_temperature,Gear_oil_temperature,Ambient_temperature,Rotor_Speed,Nacelle_temperature,Bearing_temperature,Generator_speed,Yaw_angle,Wind_direction,Wheel_hub_temperature,Gear_box_inlet_temperature,Failure_status
30-05-2021,17,2.85,0.31,96.56,68.35,-20,141.07,42.34,70,1101.01,5.15,76.05,68.31,16.21,No_failure
12-09-2021,11.6,2.13,40,82.92,55.89,4.29,224.01,49.24,100,1603.63,14.97,6.34,54.85,16.86,No_failure
15-02-2021,43.5,0.23,-48.35,37.16,101.37,-2.91,14.77,7.27,16.86,515.4,127.97,89.27,-55.7,22.49,Failure
29-04-2021,18.19,2.24,0.72,85.29,63.32,8.44,50,60,70,1327.21,13.83,27.53,8.28,11.47,No_failure
16-07-2021,26.57,2.4,40,70.4,86.53,-17.63,203.5,38.08,70,1000,29.78,69.54,13.18,13.86,No_failure
04-08-2021,1.8,9.52,4.75,124.36,104.04,81.43,426.84,78.6,139.22,2180.16,101.61,-4.17,112.37,92.82,Failure
17-01-2021,19.37,2.24,29.36,88.43,55.16,36.42,193.05,36.23,70,1420.62,6.5,49.21,-21.63,17.88,No_failure
01-08-2021,11.82,2.6,19.43,83.24,70.26,5.07,203.2,57.3,70,1530.97,57.04,11.22,17.66,14.15,No_failure
12-10-2021,15.97,2.83,37.87,82.26,61.16,35.77,201.67,47.26,70,1231.66,22.03,23.11,27.5,16.95,No_failure
07-09-2021,20.17,2.12,22.55,90.62,79.09,3.36,210.42,45.4,70,1121.98,10.98,14.11,30.97,18.76,No_failure
06-03-2021,6.1,2.99,40,97.07,83.3,3.59,129.04,35.73,70,1484.74,6.87,75.07,80,20,No_failure
08-06-2021,43.54,1.09,-58.79,14.4,118.59,1.26,15.1,-10.31,22.3,771.02,104.41,-353.89,-60.4,21.8,Failure
25-02-2021,14.03,2.97,26.24,91.51,58.2,11.22,182.78,37.47,70,1075.15,60,53.91,-10.63,14.51,No_failure
02-12-2021,17.84,3.22,5.03,86.46,75.95,10.96,74.44,36.73,70,1505.91,19.22,46.56,80,14.15,No_failure
03-12-2021,7.2,2.15,22.26,89.89,72.49,14.32,94.17,46.4,70,1434.29,11.07,2.21,19.05,16.46,No_failure
26-11-2021,11.96,2,40,88.01,78.81,8.2,300,55.79,70,1449.67,57.04,140.23,7.38,19.96,No_failure
30-08-2021,20.19,2.71,38.18,87.71,63.47,-4.21,183.66,52.01,85.28,1532.03,60,142.62,26.85,17.54,No_failure
10-03-2021,17.57,3.1,40,89,64.15,-3.25,144.39,30,70,1338.15,22.33,30.47,-39.19,17.19,No_failure
12-08-2021,21.48,2.78,40,80.7,79.36,-13.66,150.03,30.88,70,1230.46,26.33,175.26,18.58,18.71,No_failure
06-01-2021,39.33,0.56,-42.92,65.17,128.82,-3.13,9.99,24.48,30.83,450.37,158.79,29.11,-70.12,21.86,Failure
06-12-2021,3,2.94,17.87,94.49,69.75,8.29,107.17,46.77,100,1476.37,51.27,40.52,29.65,13.77,No_failure
25-10-2021,12.4,2.85,27.94,74.19,70.94,29.06,262.97,39.88,100,1110.99,31.62,83.15,47,16.36,No_failure
16-06-2021,5.39,2.7,8.54,89.61,67.54,-1.18,176.28,60,100,1170.69,24.87,11.56,17.12,15.02,No_failure
15-03-2021,17.36,3.17,0.66,83.52,72.31,0.05,80.67,32.27,70,1800,10.26,24.34,-40,17.72,No_failure
03-02-2021,30,3,15.77,79.99,82.29,-11.26,224.36,60,70,1215.13,1.16,50.93,15.61,18.1,No_failure
17-03-2021,25.38,2.69,40,75.99,78.69,-5.84,50,39.62,70,1553.25,34.26,16.12,-6.73,10.26,No_failure
29-11-2021,20.01,2.79,28.16,90.95,67.89,19.32,188.32,35.06,70,1484.24,4.03,15.56,-15.88,14.86,No_failure
27-09-2021,14.33,2.55,40,92.6,80.14,25,145.1,36.94,100,1350.26,28.03,19.61,-7.85,18.77,No_failure
20-02-2021,10.28,2.97,17.25,88.55,85.2,6.67,108.82,37.15,97.39,1353.44,23.69,12.38,4.07,10.99,No_failure
03-12-2021,18.97,2.35,34.81,73.01,52.68,20.09,181.59,33.47,70,1294.84,1.49,57.94,-12.98,12.46,No_failure
24-11-2021,11.6,3.5,11.71,82.27,60.23,-12.73,215.52,49.49,70,1546.36,23.12,156.12,19.1,17.12,No_failure
26-02-2021,24.32,2.72,8.23,95.2,88.65,20.98,266.79,33.73,100,1242.02,60,32.2,8.13,17.05,No_failure
29-08-2021,1.57,6.97,-64.28,144.49,109.87,62.06,354.28,83.84,140.55,2057.52,125.17,-258.31,107.68,83.01,Failure
28-11-2021,20.87,2.4,7.9,85.74,57.91,0.53,115.41,43.61,70,1411.5,50.46,13.14,55.29,18.53,No_failure
04-08-2021,1.59,8.27,-34.66,135.79,103.31,63.34,392.3,85.86,113.58,2224.4,119.03,340.43,95.18,105.78,Failure
22-09-2021,5.65,2.2,40,94.98,61.68,12.11,150.55,,70,1461.56,9.59,9.58,74.1,18.09,No_failure
19-03-2021,12.91,3.37,40,72.09,79.75,-14.93,103.04,38.83,100,1200.16,59.25,3.95,0.02,13.68,No_failure
02-03-2021,39.69,0.03,-41.22,33.55,123.46,-2.5,2.85,12.05,53.74,780.68,127.61,182.05,-51.76,23.87,Failure
17-12-2021,24.93,3.5,30.53,83.64,71.17,-2.94,233.13,55.46,100,1352.22,8.51,123.78,61.92,16.34,No_failure
19-05-2021,41.82,0.11,-47.63,38.46,101.52,-16.93,32.25,1.91,49.63,325.82,161.58,211.96,-54.58,22.08,Failure
14-10-2021,23.96,2.67,16.81,84.93,72.67,1.35,195.79,44.66,100,1319.54,12.14,186.11,26.38,11.28,No_failure
15-05-2021,7.18,2.21,40,82.76,78.66,25.53,50,46.66,70,1633.82,8.25,35.82,57.44,18.88,No_failure
02-06-2021,9.63,3.5,16.55,89.43,71.86,4.62,205.23,46.94,100,1147.75,60,26.25,27.05,16.56,No_failure
31-08-2021,6.85,3.13,4.21,97.2,86.33,-16.95,259.43,37.12,70,1334.06,28.83,59.6,6.22,15.96,No_failure
16-04-2021,12.28,3.11,40,79.65,70.53,7.6,153.5,41.72,100,1000,25.8,3.78,7.68,15.43,No_failure
30-07-2021,13.37,2.92,4.85,83.41,77.44,-11.8,195.1,36.05,70,1552.93,60,2.5,-29.89,13.27,No_failure
18-02-2021,7.36,3.03,25.05,94.02,60.63,5.89,162.52,41.98,70,1358.06,55.78,20.78,39.72,14.13,No_failure
18-12-2021,17.18,2.71,0.89,75.05,64.49,34.32,223.6,48.17,70,1702.87,20.68,84.21,-40,14.06,No_failure
09-05-2021,17.17,3.5,11.28,86.82,50,11.78,218.84,48.34,78.56,1404.97,24.51,103.95,45.67,18.92,No_failure
18-12-2021,1.29,6.41,-73.57,142,108.06,83.01,382.56,86.64,127.56,2310.48,100.12,234.31,97.82,70.36,Failure
17-06-2021,19.37,2.77,35.12,74.28,50,-16.98,132.46,43.78,98.78,1800,21.7,6.88,-2.73,17.49,No_failure
14-06-2021,9.98,3.12,40,88.35,54.37,12.01,96.11,45.76,100,1722.87,9.93,8.72,40.32,11.69,No_failure
21-01-2021,18.54,2.31,10.98,76.8,82.49,-3.4,136.61,42.6,100,1126.64,8.64,16.21,50.46,17.17,No_failure
04-03-2021,43.18,0.3,-51.53,27.13,100.42,2.9,38.01,16.33,53.03,674.26,147.58,230.45,-79.49,24.35,Failure
11-05-2021,3,2.53,29.56,79.21,72.29,26.71,126.07,51.79,70,1560.15,19.79,60.63,35.79,16.24,No_failure
24-12-2021,0.45,5.9,57.58,135.66,126.25,72.74,363.02,79.11,117.13,2083.22,153.3,137.18,118.6,75.72,Failure
28-10-2021,10.17,2.39,14.44,76.56,70.46,-1.59,147.35,46.45,70,1583.8,9.9,5.02,12.59,14,No_failure
10-04-2021,11.91,2.84,2.31,70.34,73.87,-2.56,253.72,48.18,95.59,,12.02,6.01,54.85,14.28,No_failure
02-07-2021,22.07,2.49,16.09,76.45,50,5.2,115.44,34.4,100,1205.96,60,9.38,17.92,15.05,No_failure
18-04-2021,29.49,3.35,35.42,77.75,65.04,26.28,216.21,34.42,70,1288.37,38.18,64.71,31.63,14.42,No_failure
18-09-2021,14.33,2.77,22.61,88.37,65.12,30.71,163.73,47.92,100,1420.68,27.34,26.83,-10.13,17.82,No_failure
10-04-2021,15.23,2.54,9.04,75.46,63.7,9.06,220.51,60,70,1304.74,10.73,14.08,30.22,11.3,No_failure
25-05-2021,20.32,2.99,40,95.03,74.66,0.29,229.65,30.35,82.47,1285.1,32.3,35.29,43.81,19.89,No_failure
09-02-2021,14.8,2.77,34.46,91.58,63.17,3.27,135.04,38.46,70,1372.02,0.25,21.98,16.08,20,No_failure
03-11-2021,29.85,2.66,40,92.38,68.55,18.34,200.52,41.29,100,1749.13,7.34,22.12,42.59,12.38,No_failure
23-03-2021,44.42,0.52,-51.2,34.54,110.09,-11.08,1.87,24.04,21.7,392.76,103.48,337.99,-64.28,20.39,Failure
19-03-2021,15,3.35,17.62,82.76,67.86,40,134.92,37.51,70,1310.85,4.47,53.06,-3.82,16.58,No_failure
21-12-2021,1.39,11.31,118.18,124.71,101.39,63.37,407.59,86.9,148.85,2157.73,135.44,169.25,98.56,85.37,Failure
22-07-2021,0.87,6.94,86.71,140.76,101.42,74.47,377.03,98.77,143.82,2116.8,83.87,73.44,96.19,89.24,Failure
09-03-2021,12.79,2.84,19.52,98.99,69.25,29.98,139.09,42.87,100,1418.5,5.54,0.93,-40,14.32,No_failure
06-05-2021,15.16,3.36,23.6,82.87,50,5.87,57.67,60,70,1104.5,19.02,15.56,64.66,13.84,No_failure
29-06-2021,24.01,2.29,40,82.18,50,9.37,149.75,43.25,100,1319.42,14.85,28.55,16.43,18.5,No_failure
25-04-2021,13.21,2.5,10.04,85.08,79.35,31.39,228.24,32.35,70,1292.3,10.96,48.89,9.23,14.96,No_failure
14-02-2021,9.03,3.15,10.87,81.22,86.24,14.2,213.82,40.32,76.43,1287.76,60,221.97,33.64,14.91,No_failure
05-09-2021,24.14,3.05,40,84.42,79.79,10.66,197.23,38,100,1633.86,19.26,103.75,14.96,17.75,No_failure
20-11-2021,8.28,2.23,7.53,78.59,57.43,-10.71,220.19,35,100,1780.17,5.02,72.61,25.69,14.11,No_failure
01-01-2022,18.67,4.96,42.19,75.12,78.65,24.12,223.87,77.66,100.05,2631.47,15.3,93.77,-18.74,24.23,No_failure
09-07-2021,6.7,2.93,8.84,89.73,79.14,19.64,300,36.28,70,1366.95,49.72,9.85,29.93,12.18,No_failure
26-08-2021,23.91,3.14,40,78.66,69.99,-18.81,255.01,50.4,91.79,1206.43,43.25,70.59,80,13.26,No_failure
30-12-2021,0.03,9.72,-76.05,126.12,119.88,77.29,424.55,81.95,143.56,2261.57,76.79,198.03,95.67,107.21,Failure
18-04-2021,39.44,0.79,-36.61,43.97,116.6,-9.76,20.44,1.29,48.34,559.24,168.28,-61.1,-77.24,27.3,Failure
01-05-2021,30,2.12,40,95.59,69.87,4.3,109.71,50.87,73.89,1450.04,29.46,10.15,25.16,10,No_failure
14-04-2021,39.52,0.55,-44.08,10.08,121.3,-16.19,11.09,-0.59,39.1,598.11,100.35,66.65,-58.86,28.08,Failure
21-09-2021,14.97,3.3,40,83.29,90,35.58,186.48,40.59,95.09,1360.17,1.41,0.9,30.54,15.66,No_failure
10-12-2021,12.29,2.14,40,77.57,56.22,8.14,213.82,48.66,100,1322.87,60,5.68,41.26,11.63,No_failure
30-10-2021,24.24,2.33,40,95.52,67.62,40,300,60,70,1266.19,30.64,29.52,-2.43,19.54,No_failure
19-11-2021,20.77,2.72,12.34,98.07,58.73,7.42,100.51,35.55,100,1355.53,26.48,107.35,7.56,14.72,No_failure
25-09-2021,17.86,3.11,20.82,87.37,75.58,7.76,156.27,43.47,100,1369.23,26.15,108.98,-13.31,12.49,No_failure
17-07-2021,3.11,3.09,1.24,94.75,82.91,4.08,128.37,53.74,100,1736.22,0.63,20.45,69.48,11.63,No_failure
25-07-2021,21.76,2.43,23.67,81.19,75.78,-1.24,234.91,58.9,100,1368.31,,89.75,-26.05,12.43,No_failure
11-10-2021,19.17,2.67,11.11,98.69,71.35,18.4,300,38.15,70,1000,58.61,7.36,20,11.13,No_failure
23-02-2021,39.11,0.31,-57.42,57.55,106.89,-8.66,6.93,-16.85,49.7,775.8,141.03,515.29,-81.59,22.82,Failure
31-03-2021,25.32,2.28,29.53,72.54,65.6,6.91,271.19,43.04,70,1603.85,12.37,78.82,17.78,10.97,No_failure
01-06-2021,13.08,2.94,6.67,78.67,57.24,40,133.96,47.9,84.76,1299.36,44.51,12.47,50.6,13.01,No_failure
27-08-2021,11.63,2.7,30.65,94.34,76.43,13.7,138.68,35.54,100,1563.09,31.75,46.86,59.07,16.61,No_failure
14-02-2021,42.47,0.15,-33.05,68.13,107.6,3.79,27.74,-15.32,54.83,387.31,166.41,134.2,-69.19,24.46,Failure
28-08-2021,1.28,8.93,88.02,142.2,118.23,84.65,423.87,89.06,115.04,2152.87,123.16,-202.85,97.09,82.01,Failure
15-07-2021,7.31,2.56,1.54,81.41,60.38,12.32,50.45,45.99,70,1298.63,48.61,51.61,48.99,14.31,No_failure
01-05-2021,17.26,2.7,0.92,96.6,74.25,-20,220.36,41.53,100,1708.86,,6.12,-40,16.36,No_failure
08-03-2021,13.07,3.5,34.94,95.92,64.31,18.7,171.85,37.57,100,1058.94,20.67,5.91,23.93,18.47,No_failure
01-09-2021,13.58,2.58,17.16,82.39,50,-15.22,228.4,55.02,70,1702.08,17.45,34.97,40.71,19.12,No_failure
28-01-2021,26.04,2.95,37.17,79.63,80.45,40,209.32,51.66,70,1373.29,43.81,30.6,16.36,12.58,No_failure
05-05-2021,22.6,2.71,18.52,99.51,70.35,16.33,169.38,42.99,70,1632.82,56.31,32.22,-3.79,20,No_failure
21-08-2021,17.01,3.01,40,73.74,57.27,-10.35,120.27,39.05,70,1734.44,48.59,157.22,80,13.61,No_failure
18-04-2021,25,3.5,16.73,73.37,58.87,39.23,178.97,42.84,73.59,1681.73,22.08,26.95,50.03,13.92,No_failure
04-10-2021,20.89,2.24,40,85.05,85.88,-14.59,89.1,32.25,70,1581.06,59.71,16.41,43.51,15.49,No_failure
12-03-2021,39.81,0.24,-55.71,37.06,110.79,-2.19,36.56,23.15,15.05,575.46,131.54,235.25,-67.47,28.63,Failure
03-06-2021,11.82,2.75,15.19,96.72,69.81,12.36,235.56,41.87,100,1450.74,16.54,50.2,30.88,14.19,No_failure
18-11-2021,11.19,2.72,5.79,92.25,73.4,11.96,137.44,54.97,100,1110.31,1.08,76.83,72.03,12.44,No_failure
15-12-2021,7.95,2.15,15.02,97.56,88.57,35.52,74.78,53.56,100,1595.63,19.99,27.32,46.01,14.53,No_failure
02-09-2021,25.48,2.56,40,88.11,67.02,15.66,144.08,49.86,100,1605.61,14.4,77.17,-5.77,18.37,No_failure
31-08-2021,15.69,2.89,6.21,74.98,68.1,8.74,199.79,47.64,70,1614.24,27.85,21.44,22.76,14.47,No_failure
01-01-2021,19.13,2.76,7.4,71.54,80.89,19.58,233.26,30.62,73.44,1037.64,3.48,69.19,53.43,10,No_failure
14-09-2021,19.26,2.7,15.65,72.13,72.3,9.61,234.75,41.17,77.43,1560.86,0.49,28.22,21.62,13.96,No_failure
04-03-2021,14.99,2.96,34.14,95.74,57.87,5.21,203.76,60,100,1641.05,44.08,21.31,27.57,15.65,No_failure
26-07-2021,27.65,3.2,40,91.93,75.98,33.87,128.58,42.28,100,1758.54,16.83,41.08,58.69,14.43,No_failure
27-03-2021,18.08,2.05,5.92,72.9,53.8,1.22,196.87,55.79,93.65,1569.49,20.9,95.58,2.77,17.64,No_failure
06-06-2021,25.79,3.09,16.99,70.67,63.64,-7.21,194.5,60,70,1314.98,47.58,49.71,18.27,14.83,No_failure
05-10-2021,21.92,2.31,40,72.32,73.54,2.99,295.04,39.28,70,1169.43,60,39.03,-0.85,12.85,No_failure
14-03-2021,44.98,0.32,-36.74,35.7,105.11,-15.66,10.18,17.27,15.22,566.41,116.51,129.3,-87.61,26.04,Failure
23-01-2021,23.24,3.26,29.69,95.44,73.44,40,220.02,50.62,70,1340.87,9.58,2.14,9.05,10.56,No_failure
28-06-2021,19.52,2.91,18.68,85.66,78.33,18.32,178.8,33.26,94.82,1582.63,31.68,18.34,20.08,13.55,No_failure
24-03-2021,13.33,2.33,40,71.58,54.24,14.25,231.62,30,100,1168.44,55.49,34.43,44.04,14.35,No_failure
19-06-2021,24.67,2.33,24.17,83.93,80,-5.78,84.34,32.65,70,1421.26,60,34.09,36.4,16.8,No_failure
15-03-2021,20.23,2.23,14.04,89.97,69.72,2.67,170.03,36.2,70,1405.91,1.54,17.01,-3.02,12.5,No_failure
26-06-2021,23.03,3.15,22.06,74.27,63.97,24.21,133.87,34.2,70,1000,9.93,18.86,73.97,10.18,No_failure
22-07-2021,14.19,3.03,12.39,70.13,69.72,-3.59,173.7,41.67,70,1000,24.58,14,51.75,17.21,No_failure
11-10-2021,15.44,2.88,6.77,74.6,50.95,15.1,241.45,42.25,72.44,1651.02,7.72,8.7,5.78,13.89,No_failure
13-05-2021,24.49,2.74,12.64,73.25,70.31,17.14,149.24,39.77,75.97,1670.47,53.96,40.29,49.19,16.5,No_failure
01-03-2021,21.11,2.49,40,70.76,82.45,-4.58,254.57,43.07,100,1000,34.64,0.48,77.18,13.09,No_failure
